Jobtitle,City,Date,Skills,Salary,Candidates,Copy
arquitecto cloud,Madrid,2022-09-30,"['aws', 'oracle cloud', 'openshift']",43500.0,11,2022-10-02
consultor oracle erp (ebs/cloud),Madrid,2022-09-30,"['ebs', 'oracle']",no disponible,2,2022-10-02
programador sql y oracle pl/sql,Madrid,2022-09-30,"['sql', 'oracle', 'pl/sql']",39000.0,22,2022-10-02
sap manager con inglés,Bizkaia,2022-09-30,['sap'],no disponible,1,2022-10-02
administrador de sistemas linux,Madrid,2022-09-30,"['linux', 'kubernetes']",no disponible,7,2022-10-02
ingeniero junior de ciberseguridad,Madrid,2022-09-30,"['ciberseguridad', 'siem']",no disponible,26,2022-10-02
analista programador/a ms sql serv,Valencia,2022-09-30,['sql server'],no disponible,10,2022-10-02
analista funcional data analytics,Bizkaia,2022-09-30,"['sql', 'data', 'kibana']",no disponible,8,2022-10-02
arquitecto fronted,Online,2022-09-30,"['reactjs', 'angularjs']",51000.0,10,2022-10-02
programador senior backend (100% remoto),Almería,2022-09-29,"['jboss', 'java', 'hibernate', 'mysql', 'spring']",no disponible,2,2022-10-02
senior data scientis,Madrid,2022-09-29,"['python', 'r', 'spark', 'sql', 'data', 'machine learning']",54000.0,13,2022-10-02
tﾃｩcnico/a linux,Madrid,2022-09-29,"['linux', 'jboss', 'kubernetes', 'python', 'tomcat', 'jenkis', 'documentum', 'gitlab', 'shell scripting', 'redhat']",no disponible,2,2022-10-02
it operations system 24x7 junio,Barcelona,2022-09-29,"['unix', 'linux']",no disponible,16,2022-10-02
programador senior (h/m),Online,2022-09-29,"['.net', 'angularjs']",no disponible,1,2022-10-02
it junior data scientist híbrido,Madrid,2022-09-29,"['python', 'sql']",no disponible,23,2022-10-02
diseñador/a gráfico/a,Alicante,2022-09-29,"['adobe', 'photoshop', 'ilustrator']",no disponible,5,2022-10-02
perfiles cloud con azu,Online,2022-09-29,"['aws', 'terraform', 'ansible', 'jenkins', 'azure', 'iac', 'git hub']",34500.0,20,2022-10-02
especialista desarrollo soporte navisio,Madrid,2022-09-29,"['linux', 'soap', 'codigo abierto', 'tomcat', 'navision', 'mysql', 'php']",33000.0,1,2022-10-02
programador/a java microservicios,Madrid,2022-09-29,"['java', 'microservicios']",no disponible,7,2022-10-02
z/os systems technician/administratio,Online,2022-09-29,"['mainframe', 'cics', 'z/os', 'host', 'db2']",34500.0,6,2022-10-02
técnico intervenciones/field servic,Barcelona,2022-09-29,"['software', 'hardware']",17000.0,8,2022-10-02
arquitecto/a java,Online,2022-09-29,"['java', 'microservicios']",46500.0,3,2022-10-02
jefe de sala it,Madrid,2022-09-29,"['ofimatica', 'linux', 'windows']",28500.0,15,2022-10-02
administrador almacenamiento/stora,Madrid,2022-09-29,"['cabinas', 'ibm', 'almacenamiento', 'switches', 'incidencias', 'trubbleshotting', 'storage', 'administrador', 'hitachi', 'tecnico', '.net']",36000.0,14,2022-10-02
qa tester funcional alm - 100% remoto,Madrid,2022-09-29,"['qa', 'tester', 'alm']",no disponible,71,2022-10-02
ingeniero/a en computación (robótica),Barcelona,2022-09-29,"['robotica', 'cplusplus', 'rtos', 'sw', 'motion control', 'oop']",no disponible,15,2022-10-02
ingeniero/a y tech lead java,Online,2022-09-29,['java'],no disponible,20,2022-10-02
técnicos de sistemas virtualizados,Madrid,2022-09-29,"['vmware', 'switching', 'cisco', 'firewall']",28500.0,11,2022-10-02
técnico it (micro y redes),Bizkaia,2022-09-29,"['redes', 'microinformatica', 'switches', 'configuracion']",17000.0,8,2022-10-02
project management office - pmo,Madrid,2022-09-29,"['office', 'pmo']",24000.0,14,2022-10-02
programador appia,Madrid,2022-09-29,['appian'],no disponible,3,2022-10-02
coordinador de servicios telco/lan/wan,Online,2022-09-29,"['lan', 'wan']",21000.0,34,2022-10-02
ingeniero/a de redes,Asturias,2022-09-29,"['redes', 'cisco']",no disponible,6,2022-10-02
técnico de redes con inglés,Madrid,2022-09-29,"['redes', 'cisco', 'remedy']",no disponible,10,2022-10-02
desarrollador/a de aplicaciones java,A Coruña,2022-09-29,"['apache', 'thymeleaf', 'mvc', 'jee7.', 'java', 'hibernate', 'oracle', 'informix', 'spring', '.net']",no disponible,5,2022-10-02
ia developer - inteligencia artificial,Málaga,2022-09-29,"['deep learning', 'devops', 'python', 'inteligencia artificial', 'docker', 'java', 'machine learning']",28500.0,5,2022-10-02
coordinador migración ibm cloud,Online,2022-09-29,"['ibm cloud', 'cloud']",42000.0,13,2022-10-02
qa engineer java bbdd inglés,Online,2022-09-29,"['java', 'ingles', 'bbdd', 'qa']",36000.0,8,2022-10-02
desarrollador full stack remoto,Online,2022-09-29,"['spring', 'java 8', 'angularjs']",no disponible,15,2022-10-02
desarrollador net core / sqlserv,Madrid,2022-09-29,"['sql server', '.net', 'c#']",25500.0,9,2022-10-02
project management officer (pmo),Madrid,2022-09-29,"['excel', 'pmo', 'power point', 'cloud']",no disponible,14,2022-10-02
experto en goldengate con odi,Online,2022-09-29,"['oracle data masking', 'odi', 'goldengate']",48000.0,1,2022-10-02
desarrollo java/microservicios remoto,Online,2022-09-29,"['mongodb', 'mockito', 'java', 'maven', 'cloudbees', 'mysql', 'postgresql', 'github', 'spring']",no disponible,79,2022-10-02
desarrollador/a microservicios remoto,Online,2022-09-29,"['java', 'microservicios', 'api']",30000.0,8,2022-10-02
comercial servicios informaticos,Madrid,2022-09-29,"['php', 'java', 'microsoft']",28500.0,24,2022-10-02
"administrador bases de datos oracle, sql",Zaragoza,2022-09-29,"['sql', 'oracle']",no disponible,5,2022-10-02
administrador bbdd streaming (remoto),Online,2022-09-29,"['spark streaming', 'bbdd', 'kafka streams']",no disponible,11,2022-10-02
java developer (100% teletrabajo),Online,2022-09-29,"['swagger', 'mongodb', 'microservicios', 'java', 'junit', 'kafka', 'spring']",34500.0,23,2022-10-02
